text	label
Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!   http://t.co/vFP1ehx7yL	1
"Whatever happened to the Guano Apes? Did they ever make it ""Big in Japan""?"	1
Bmw i8 sexy az hell but too slow for the dinero 12.4 in the quarter mile slow #fan of the design feeling the... http://t.co/DELfxN0BpI	0
Let your humility guard your pride ... Vanity shouldn't be allowed to be with such a delicate thing.	0
Whenever I get sad about how things are going now, I just think of how awesome the future looks to be. #secondsemester #drumcorps #college	0
I asked God to protect me from my enemies .. shortly after I started losing friends :flushed_face::hundred_points_symbol:  or #naah	1
Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm  its for a customer I hope!!! http://t.co/KDx0FhVqCW	1
Such .   You still have to #praisehim ;)	1
Hey heyy!!!I....wanna be a rockstar #vscocam  hero #vsocam #hero #spiderman http://t.co/9tuskhVYbJ	0
"""@MaggieLindemann: . @xSamSecrets123 awk moment when I tweeted first #fakefan !!!!!"""	1
Waa mockingjay part 2 tahon depan meh 20 Nov 2015 wtvr Night at the museum 3 #mustwatchb4decemberendssobssobs http://t.co/rAc6XdS56z	0
@AmbControl999 @HouseofCommons @Ed_Miliband @nick_clegg @David_Cameron  nice to see the ambulance service is so important to OUR mps	1
I love finals week! #justkidding  #stressed	1
@gracewoods_ fucking copycat, although you're name is mint and the act we share it is probably a cause for alcohol filled celebration!!!	0
Literally cried when I woke up because I know what this day has in store for me #TheStartOfTechWeek  Ready #JustShootMeKnow	0
@RashawnFranklin Because I disagree w/ you? Trading three picks for one when you have glaring holes at numerous positions is ass-backwards.	0
.@nypost .@Cameron_Gray Oh that makes it all better!!!	1
Why didn't I start watching the tudors earlier? #iloveit	0
@guntrust http://t.co/8ICPDcAoNQ #CHRISTMAS #GIFT GET STARTED AT MAKING MONEY IN SOCIAL MEDIA @ https://t.co/cpJZkEgNe7	0
"don't knw how to react everytime sum1 says me being in a wheelchair ""inspires"" them! im just living they same you are dude"	0
GET AHT A TAHN!|The Made in PGH Gift Guide https://t.co/ziTWyuzN6a via @getfitpgh	0
On my lunch break so sleepy:sleeping_face:	0
#Work#Trains#TheGrind#London#Business#MyHappyFace http://t.co/fdE2iQpuQz	1
dude said I better think hard , so he can take me to cheddars lmao !	1
My #Christmas ritual...part one. #HowTheGrinchStoleChristmas http://t.co/yIJ6tiHmsM	0
Overcast at Creso. #todayimloving #beachwalk #crescenthead http://t.co/daEk2DAjBg	0
2014 can't end fast enough! Stupid dead battery.	0
Not even 8am and I can already see this is going to be a wonderful day  #needmorecoffee	1
I have an idea, how about 911 operators don't ever describe race?||And police have to wear color blind glasses?||	1
@bustedcoverage  but Russell is a good christian fella, he wouldn't do that.	1
"Apparently my youth group thinks ""Are you kidding me?"" is my default expression--or ""nomal face."" #areyoukiddingme http://t.co/dBARs2XXTa"	0
"@jaymohr37  #PSA Hey Jay, I tuned in when u said ""why all the cocaine talk today....after tweeting coke joke saw it's Escobar's 65th"	1
Interviewed a turkey & here's what he had to say http://t.co/8fTsTAoTa1 #Thanksgiving	0
Planned on an early night last night.. Oh yaa course that happened..  #gotinterupted	1
@MaggieWinter21 your last retweet though	1
2v4 S&D matches are just so fun...	1
i just loveee bein short and having my sweatpants go all the way under my feet its so fun... :pile_of_poo:	1
I love waking up at 8 am on a Saturday morning after going to bed at midnight	1
A day where  ruled @twitter, I got followed by @Sarcasmia. Wht a  day!! Lollllll.	1
Jusuf Nurkic #Bulls RT @JonathanTjarks: He clearly has a lot of talent. Kind of amazing that Denver got him and Gary Harris for McDermott.	0
I don't even have progress on my thesis tas preparations for our event this thursday :weary_face:	0
Gym and I are gonna have a reeeaaalll nice date tomorrow.  #imgoingtostruggle #VSFS2014	1
Sony pulled a movie bc we're scared of a country that can't even keep its lights on at night? Even motel 6 can do better than that. #Zing	0
Had a nice 3 hour nap. Picking up my Chinese take-out and set to watch #GuardiansOfTheGalaxy @MyzzCryz I added water chestnuts to my dinner	0
@jepischke @djdurkin The Bears are probably the worst franchise in football at the moment.	0
I'm so pissed off at Chicago. Like the people at the airport ruined so many peoples chances of ever meeting the boys :expressionless_face::expressionless_face::expressionless_face:. Way to go	1
Hell has frozen over. Literally. #Texas2015.	0
Can you write your name on a paper and take a picture ... — I can but I'm busy answering this question oh...  http://t.co/hRysVyLpBI	1
Its a marshmallow world in the winter :multiple_musical_notes: #getthisoutofmyhead	0
Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun	1
Reading about Barack Obama in the Barack #Obama plaza #moneygall oh the  http://t.co/sQCIETUrpR	1
that is the face of a tired man hahahahah	0
We want turkey!!	1
@winelibrarian happy to be of some small service ;) @Case4Cleveland @brad4word	0
Choose your words carefully hurting someone feelings is not the right way to go.	0
What a joke. Thanks for the detailed response and communication with your customers.  @AskPlayStation @PlayStation	1
@MohammadFarooq_ Asalamoalekum... :smiling_face_with_open_mouth: kesay mizaj ? Thank you so much. It was posted on 2nd December 2013. Already there. :smiling_face_with_halo:	0
Feeling artsy tonight. #artsy#homealone#vienna#studentlife @ b&e's apartment http://t.co/Ct85mmtf5H	0
"showed mom this picture of me and @sopitlikeitshot & says ""this is grunge"" and she goes ""haha!! I love it!"" #momgoals http://t.co/LTe1NGODMk"	0
@TharaAzzam explains why Inter went all Calciopoli over Juventus...	0
I pray God comes back in America and saves us all.	0
#Libby #Lane #appointment: #Women #bishops #debate  #over: The appointment of the Reverend Libby Lane as the... http://t.co/YOj9HVUa8n	0
Sad that when someone drinks they treat you like shit and won't talk to you.	0
We provide a structure that ensures you will successfully invest in real estate. http://t.co/vSLRBIOhyr @backofficeguru	0
@FoxNews Ask a liberal and he will tell you Obama got us out of Iraq and won the Afghan war...and no one ever died under his watch.	0
Why am I sick? *looks at other tweets* oh yeah sex...  #lame	1
working a double on 2 hours of sleep here we go let's get it	1
For those of you that LOVE this time of year.  https://t.co/r6utbrXVrU	1
In other news i havent had a good nights sleep in a week. I feel great.	1
The pure #reality of . http://t.co/wokWEvDvrp	0
#DIY. Change your #MobileCover every day now. Enjoy! http://t.co/FbDDXMien9	0
Happy 2nd anniversary to me in SGV. Happy OT here in client. Woohoo. I loooooove my job. Super. More years to go!!!!!!!!!	1
@Vh1Supersonic Cause of all the things in life this seems to be in #Balance. |Music- Medicine, @Vh1Supersonic - Doctor|#SuperDayLineUp	0
@HarrietBaldwin @OkieVision I guess that means MSM will dig something up to smear Barkley now.#Ferguson	0
Jimi Agbaje is a fine man...in respect to public service what notable landmark has he achieved?  Tested|Jimi... http://t.co/MCNlrZffAO	0
@letote good thing we had enough #whitewine and #christmastrees to survive if needed. #chardsohard #fashion  ;)	1
@DFDSUKUpdates why all the delays?  happy	0
The fun part about 4 am drives in the winter, is no one has cleaned the snow yet	1
I miss the days when all my close friends lived in the same city.	0
so it's claimed that 99% of all russian athletes take performance enhancing drugs. there is a surprise	1
@SQLSophist is that  ?	0
Shoutout to my mom for being hella supportive of me	1
@Sidra__PTI you may also see flags of ISIS with him  is this govt and ch nisar don't admit :'(	1
@JordanNoftall that's funny	1
Do you want more period related post or do you like how I post some personal things here on Instagram? http://t.co/VQWDOxB2RU	0
http://t.co/nKXYmio8V6 #AnalScreen #Exotic Exotic brunette gets her little tight butt nailed right on the office desk	0
@mmamania what time is the UFC press conference tomorrow with names of numerous fighters getting cut	1
#Terror on high Seas ...|Fishing boat, allegedly from #Pakistan, blows up at sea ...... http://t.co/V6G1zx2s4f	0
#what#matters#to#me#is#gym#holidays#work#the#hell#out http://t.co/HBofXwvQPe	0
I like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it  :face_with_tears_of_joy:	1
@baltimoresun Hate it. Go back to the old format please.	0
@nfullers98 its a week joke I have with Jessica and my niece:person_raising_both_hands_in_celebration:	0
@Moose_eBooks You seriously bought a giant TV to play in the box?	0
Haha who the fuck says that to someone#TrueGentlemen	1
If you don't want Hall to eventually ask for a trade then hope for consistency in the message. Change too much you might as well start over	0
@RobertH1946 @EverydaySexism wow. That  here though, sorry grandpa, we use mac these days #WelcomeToTheWorld #NeverArgueWithFools	0
@MyzzCryz I liked the first one. Never cared enough to watch the sequel(s?). That said, I will only watch the #reboot because of #ChrisPratt	0
#working.blues.enough.vacation.days http://t.co/zSTyQiRUt5	0
"@PeterEgan6 The badger crusade continues.|""Gloucestershire badger patrols triggered by illegal trapping fears""|http://t.co/rF5aAmpC5n"	0
@BrandonTierney I also support instantly murdering 12 year olds with fake plastic guns in public parks...	0
Auntie just called and said shes on her way..|I better get dressed then :astonished_face::face_with_tears_of_joy::face_with_tears_of_joy:	0
Ahhh 7 a.m bedtimes, how I've missed you  #examproblems	1
Nerd #piccollage having a bit of fun with Georgia #nerd#chistmas #sillybilly @ chilling on my comfy... http://t.co/J3z63mwKHt	0
@mrjamieeast I think it was the hotel owners...	0
@SincerelyTumblr: One day I want to travel with my bestfriend :earth_globe_asia-australia::airplane:️ http://t.co/AXD3Ax5qC1 DONE DID TRAVELED DA WORLD!! @Bethanycsmithh :heavy_black_heart:️	0
@SouthamptonFC @LFC @SkySports Again fans come second. Thanks again	1
When you return in kind then so called friends label you as being unkind. :)	0
Sometimes i just dont understand anything|#stubborn http://t.co/nwhIEP4VWz	0
That was the cutest thing ever :smiling_face_with_heart-shaped_eyes::face_throwing_a_kiss:	0
Oh how I love that my ass is too big to fit into my jeans anymore.  #bigbootybitches	1
@LifeCheating doesn't lucky and fortunate mean the same thing?	1
I enjoy stealing my husband hat every once in awhile :smiling_face_with_heart-shaped_eyes::face_throwing_a_kiss::flushed_face: #heyyall #GoodMorning http://t.co/LknoOm7VSb	0
@SPmilkshake @MikeRTrice @neiltyson His tweet in the context of his history is what makes it a clear bait.	0
Insanity is doing the same thing twice and expecting different results	0
3 hours sleep yay loving life	1
wow, look at you hotshot.  #isthatajoke	1
@dirtydeathdog Can't wait to play the #BFHardline Beta with you XD #Epic	0
"Contemplating responding to @charliejnwalker's tweet saying ""what remains of their pride"" but not sure how well that will go down"	1
Having to be up in four hours sounds great	1
OH and now the District line has major signal failures and delays FANTASTIC!!!	1
@ScottishFA @RaeComm @ChampionsLeague sure that will end well	1
Country music & photo editing, my type of morning :black_sun_with_rays:️:multiple_musical_notes:	0
LOL.. Micromax is promising that service?  http://t.co/AxG11utGOD	1
"""Its so hard to choose between the pleasure and the pain "" #Girl #December #Love #Dream  #Strong http://t.co/GZH8Oqft9y"	0
@PowerTripKFAN Adrian was raised that way and he made it to the NFL. Maybe he thought that would motivate his kid to get there too?	1
"She heard Him cry and His little fingers & toes were counted and Mary exclaimed ""He's PERFECT!""  Oh Mary, you so cray cray."	1
My secret name is lizard squad. I like to ruin people's fun time. Follow and rt to a billion and you'll have fun. #psn  #giveitup	1
Sexist article in the Daily Fail about men wasting money on cycling - accompanied by recommendation for a handbag costing £999.	1
@Justen_G you tweet about having a flip phone? Now that's the definition of	0
@G_Wade_TooFlyy yea we was we too only a couple schools played black & not its a black dominate game	1
Don't forget to join @midtown_1015 for #Steak Night tonight starting at 4pm! #nyc #food #foodie	0
@andreamarchant @tortugarouge I don't think I've ever seen Love Actually all the way through. I tried once last year. I don't remember it.	0
@lionhart32 @Dosta1 @BSButcher My,Nephew stopped a lot. His long hair. looks like a drug dealer. Never smoked anything Pills?not an aspirin.	0
#QZ8501 asks permission to #takeoff: #towercontrol of #Surubaya: yeah..y can go...away.	0
@RedFMIndia @SunburnFestival |Answer 2- More than 150 artists |#WinSunburnPasses	0
@michelledean @AVAETC not playing out in the provinces like, oh, Mississippi.	1
Church sign of the day: How would you feel if we celebrated your birthday without you? :speak-no-evil_monkey: #StoleEm #TheReasonForTheSeason	0
"""@Rich_Herrera_4: @pcon34 IT HAS THE WORD MAN IN IT!! Just as sexist as saying mail man instead of mail carrier. "" #MichiganMan"	1
Did you know ? If you are reading this right now you are not blind...lol.	1
@Nettaaaaaaaa @deray yeah & we wont talk about how the bodies of the 2 cops killed in BK were ambulanced immediately. Elitism at its finest.	0
Love this weather	1
@MagicalBlondess Psssst. You spelt 'thing'  wrong ||	0
http://t.co/ZcHdGJZrhQ What Day is the Sabbath? #follow #Jesus #Christ #FBC #FBCJAX http://t.co/QhJfErumW1	0
 tough day in sun #kitsch#funny @ Costa Teguise Lanzarote http://t.co/3D5qjIyh0z	0
@BFBulletin if @tiggr_ exclude BF3 maps from the poll... I am going to RIOT!! I really want Seine Crossing back :loudly_crying_face: :loudly_crying_face:|I would pay for it!!	0
I love 14 hour shifts  :weary_face::weary_face::weary_face:	1
The whole #Misogyny thing is hanging in there with Women from the right . A cat fight now ?, imagine pulling that on the left #pmlive	1
Yea, yea that's logical.	1
Over on CBS at noon is #BALvsMIA. FOX has #SEAvsPHI after the #Saints. #NFL	0
So Aaron sorkin goes on @todayshow  to talk about not liking the media talking about Sony hack? Using media to bitch about media?	1
you have no argument because you're insane|@RBRNetwork1 @Steven_Swenson @TheLexZane @SSGAngle @JoeHilgerman @DanMartin_cards	0
#FergusonRiotTips Remember, the only way ppl listen is if you burn down their stores||#Ferguson #VitoandVito #WAARMedia #tcot #ycot	1
My fingers smell like lavashak :)	0
#notcies #eu Juncker receives birthday surprise: One million signatures opposing TTIP and CETA http://t.co/f3knbTnus8	0
#Forever #Young, Forever  #Out, Forever in #our #hearts. |#RIP #PhillipJoelHughes. @vCricketAU @CricketAus	0
Last day in Naples with my Emma girl! :palm_tree::black_sun_with_rays:#soeasytotakeapicwithatoddler  #19wksandcounting... http://t.co/Xb43RmsXAj	1
Say no more.... #bigclub  http://t.co/ALcQQsASsY	1
@MyzzCryz anytime! Cash is acceptable every where. And can be used toward whatever they want/need.	0
@steigerwaldino Nah, it's better we all act like the North Korean govt and police people's private thoughts.	1
@haugenma my 7-year-old got it for me! I think Macy's http://t.co/JriDbimgYg	0
Blowing your nose so hard your ears pop is the greatest way to start a Wednesday.	1
Today's court proceedings, allowing prisoners access to books in England & Wales, surely confirms it's time to limit judicial review.	1
Yay I love being awake at 5 in the morning :grinning_face::pistol:	1
Off to a slow start this morning . :weary_face:	0
@MatthewWRossi getting power from wind is so outdated and unsightly, we should be siphoning it directly from the sun by now.	1
Really looked forward to waking up this early for finals......	1
Oh how I love listening to Fox News in the background while opening presents.	1
Those bad Anonymous and Occupy people did it all because they support white supremacy	1
@Big6domino @CNN Well that's a completely well reasoned and thought out argument. You've changed my mind!!! #Ferguson	1
@badassbraeden Yeah no I'm still laughing. It's not even that funny and I'm still laughing	0
@bgracely @Horn_Chris gotta be a joke about tootin a Horn somewhere	0
Gotta go out with him and the third,forth,fifth...wheels.| #WinterThought	0
Cc: @JohnCropp My last tweet. Wayne's World is a great movie.	1
@nacholeber @SageRosenfels18 zero place for that. when the karma train finds Raiola, I hope it has a full head of steam	0
Earn cash by Posting & Tweeting! |http://t.co/2667mS1bHz ||Get started at http://t.co/GViBiZ4ZsH||#CashForContainers #homebasedbusiness #LOL	0
Oracle on Windows 2000. This should be fun!	1
last day of classes #trill except finals whoop	1
YOU blame him for everything else @RBRNetwork1 @1_Free_Man @TheLexZane @Anan_VII @ABPT_Rocket @DrPenisWrinkle @kusun0	0
With dropping oil prices, thank goodness #PMHarper has worked so hard trying to tie our economy to the oil & gas sector.  #cdnpoli	1
when singing along to songs in Korean and there is a part in English, I sing it with a Korean accent. WHY.	0
save your work folks. i'm offically cntrl-alt-deleting this week.	0
I'm glad Andy can tweet all day but not text me back.  #loved	1
": When some masseuses offer ""soothing"" massages the way reviewers offer stinging criticisms. #Masseuse=#Reviewer #Massage=#Criticism"	1
@PdpNigeria#it shows you that APC is a free and fair party#run by intellectuals#and this is what we call democracy dictatorship#	0
@panndder @MyLittleBloggie @bloisolson How dare you accuse me of being a boomer.	0
Hungry and hungover  #a  #good #day	0
Oi na how am I functioning right now #sleepdeprived	0
@loveeallyy I literally do not know	0
@mahobili @DrAwab What does PTI do apart from whining?  #Youthiacrasy	1
True  http://t.co/38hrutRf0r	1
@eXoAnnihilator @roIIerCosta @KSIOlajidebt tells someone to spell correctly while completely fucking up his tweet	1
My solo costume so far is Charcoal Grey Bottoms.... making some real progress.	1
Pay Ghost Soldiers in Iraq & cut pay of US #Military.  #keepyourpromise @SenateDems @Senate_GOPs @thejointstaff http://t.co/353PkrO9yC	1
...but then it started itself and made the Windows noise. So starts this exciting day of mine...!	1
@sammiecurtis_ me and you are the only ones that love it :smiling_face_with_open_mouth_and_tightly-closed_eyes::father_christmas::party_popper::multiple_musical_notes:	0
In need of a rose winee:wine_glass::wine_glass:	0
Yesterday #PeshawarAttack was a top tag and today the only thing twitter nation seems to be concerned about is #PTIKeptPakFirst	1
"My whole life is just ""oh ok""."	0
Leg snapped alike a twig and after I completed my front flip I screamed like a hungry newborn baby	0
#succes #it #is  #about #what #we #see #if #we just #keep #hope #and #never #give #up #success #is... http://t.co/bCjdQqzo1k	0
I can already tell today is going to be a wonderful day	1
@junior_miller @gordonkeith Junior got a rim shot for a 'rim job' joke.	1
Found out the reason that weekend closer makes my life miserable is because I'm atheist. #hypocrite #atheistproblems #serverproblems	0
Staying #casual #monday #funday  #ootd #fashion #style #allyouneedisstyle #todayimwearing http://t.co/tpuVqw7K4s	1
@QararaRasha so so problematic.. God bless her. It's a shame what've we done to pakistan. :(	0
#TortureReport trending; I wasn't aware J.K. Rowling released her new book.	1
@patevans @grbj Too Sad... LOCAL NOW!	1
@C_o_r_g_i wtf thanks for saying bye	1
Ahh gotta love those December electric bills.	1
 dead? Why is this stupidest of memes still perpetuated?	1
When someone with retrica wali picture complains about how many filters someone has used in their picture to look pretty..	1
Great, I've got a lung infection. This is fun. :/ | #notfun #miserable	1
Jeez it's a lovely morning out!! :dash_symbol::droplet::splashing_sweat_symbol: :thumbs_down_sign:  #Ireland #December	1
@Jaee_ThaPrince I need a spot for my birthday	0
@Redsaint76 I don't think. I know!	0
I love when people leave their smelly shoes in my car. It makes my car smell great!	1
@sportstalksc what's the rush? His leg is still attached right?  #dr.dabo	1
50 mph winds make a great hair fan for a photo shoot. :smiling_face_with_open_mouth:	1
Gotta love working the day after Christmas  #smellya	1
"Is ""I have to go...my gelding is struggling with dystocia"" a valid excuse...I just want to see the (lack of) reaction #whenyouseeit"	1
.@ChipBrent I love the #gamergate concept of harassing and spamming porn at any critics as proof that you're not a hate group.	1
The thing I love the most about coming into work early? Having everyone ask me why I'm here so early. Gets me every time.  #annoying	1
Thanks @AirAsia, for nothing. All my family were flying with you from KL to attend my wedding. #everyonecanfly  #AdelaideRouteCancelled	1
@CNN9ja @bbgalad#he didn't know that before putting him there#they all reck our country#PDP clans do not deserve another day even months	0
@kennobish could do with someone making me a hot chocolate right now ahaha	0
me at restaurants: Is there wi-fi?|me at beach: Is there wi-fi?|me at family parties: Is there wi-fi?|me in hell: Is there wi-fi? #wifi	0
Love it when your typing at work and a spider comes out from the keyboard and hangs out between your fingers...  :see-no-evil_monkey:	1
Don't #text and #drive either. http://t.co/OXybfwwWb6 http://t.co/fgOCRS5kre http://t.co/fBpsjk6yyk	0
@JimHumbert @GotNewsDotCom Really?! Unbelievable! U mean he was a Thug & Criminal?	1
Always gonna be an uphill battle, sometimes I'm gonna have to lose.	0
Today I don't feel like doing anything|	1
http://t.co/TUqXSWNBuP In light of the #Murders of two NYPD Officers inspired by #IcantBreathe should... http://t.co/nMYE90O4in	0
@alewnes7 he def came out the closet on that AND 1 dunk #rudygay	0
People at my school only talk about sex and drugs. So awesome	1
Perfect time to get really sick  :tired_face::face_with_medical_mask:	1
@nelsonicolee funny	1
The #hardest thing's  #knowing & #having the #faith to #keep #going http://t.co/qMBU7EEag3	0
Bush 'fully informed' of CIA methods http://t.co/qRvvPVrjVh No?? Really?? Shocking...	1
Your Jedi mind tricks don't work on me service guy. |Glad I dropped the car off for the oil change instead of Av.	0
I often worry that wealth doesn't  have enough influence in society, so pleased to see this being addressed  http://t.co/2U3PerpZQz	1
@TheView,@WhoopiGoldberg, women say 1 man asltd them, y so long 2 say sumtin? & the young 1s, where the parents? Hotel wit grn ass man? Smh	0
"Some ""new"" vinyl on the turntable tonight. Here's to you Joe. @TheClash #JoeStrummer #Sandinista http://t.co/2N3ZjJZYQo"	0
@maxsnape1 who you calling bottle job I'll take teeth. Yeah I'm game mate, at training tonight too, I'll remember your hat	1
"To all those who held back in #2014 start again in #2015 as.. ""@SanFranciscoVC: It's never too late to start! http://t.co/01ziUH8myE"""	0
i'm so funny	1
"Song of the Day: ""Love Like Winter"" - A Fire Inside."	0
Thank you OCC for being concerned enough about my safety driving to school to cancel classes....	1
Oh sprints I love you  http://t.co/sEW8Im7i0u	1
#WreathAcrossAmerica #Jax it is finnished http://t.co/7TfL9AteCu, #honor #FallenHeros in Jax||http://t.co/OXybfwwWb6 http://t.co/JO0P3X54YU	0
Heading to my nanas place its going to be so fun	1
Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo	1
Last semester I dropped a class because I had to write a 7pg paper. This semester I've had to write 5 of them	1
@SonyProUSA its my workhorse, practically glued to my hand https://t.co/6Sa7ggGTxj	0
Prevents blood clots! More like stops blood circulation #SurgicalStockings #attractive  http://t.co/XZuXjZ9qsN	1
Bet that was #limbs in the Sunderland end	0
Thanks Mother nature.. You didn't give us as snow day and now my twitter is filled with people complaining	1
You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap	1
@scottjmcg they are all written out in a gold gel pen waiting! I hate how are relationship consists of twitter messaging  #fulfilling	0
@parisbreedenw You need to, it's an experience to say the least	0
@ParkzTheDon @Neilby70 Johny UR cracking me up on Facebook chatting up my mate :smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes:	0
@BIBN2010 Weeeeee! You too! I love that xbox live and playstation network are down due to hackers on Christmas.	1
$BIDU up 2%. Officially announced Uber stake. $BIDU has market cap of $78.6 billion. Uber should top that in next VC round, right?	1
Check this out!| so #ugly #christmas #sweater|#ebayipad|http://t.co/Sp5bMZz3T2	0
I just love not being able to sleep..  #sotired	1
